,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st,has_disappered,has_lotincreased,has_merged
17603,nan,2000.0,100.0,,1,1,0,0,1,1
17618,4018,25795.0,90.0,,1,1,0,0,0,0
17627,4001,1970.0,58.8,,1,1,0,0,0,0
17669,4016,2000.0,100.0,,1,1,0,0,1,1
17704,4013,4000.0,56.3,,0,1,0,1,0,1
17709,3810,1320.0,52.5,,0,0,0,1,0,1
17750,4006,1253.0,90.7,,1,1,0,0,0,0
17791,3901,14070.0,26.7,,1,0,0,0,0,0
17797,3705,2375.0,100.0,,0,0,0,1,0,1
17801,4016,1800.0,37.8,,0,1,0,0,1,1
17824,3807,2008.0,60.1,,1,1,0,0,0,0
17899,4002,2500.0,100.0,,1,1,0,0,0,0
17912,3901,21250.0,81.7,,0,1,0,1,0,1
17933,4004,2400.0,-53.0,,0,0,0,1,0,1
17972,nan,6000.0,100.0,,1,1,0,0,0,0
